server,absolute_path,size_bytes,sha256,mtime,experiment,reason_not_in_git
Third,/data/zypan/worktrees/hadamard-init-dense-oracle-v1-ling-3090-v2/experiments/LING_DETERMINISTIC_16DOC_REPLICATION_V2/full/,12606695,"NOT_COMPUTED_DIRECTORY; runtime_manifest_sha256=414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf",2026-09-23T20:24:48+08:00,LING_DETERMINISTIC_16DOC_REPLICATION_V2,"Raw per-run full artifacts; compact per-doc metrics archived"
Third,/data/zypan/experiments/LING_RECURRENT_DENSE_L6_L7_V1/rotations/L6_final_rotation.pt,1186141,ca6ef0d398d0b030dd5c295f62b8c0f43e11d41b92b319bd750ffa064977d71a,2026-09-26T12:51:07+08:00,LING_RECURRENT_DENSE_L6_L7_V1,"Rotation checkpoint binary excluded by policy"
Third,/data/zypan/experiments/LING_RECURRENT_DENSE_L6_L7_V1/rotations/L7_final_rotation.pt,1186205,57eaebb47ff031c2b171cbb94563f81481d4f4632098af8339a27d01347060a2,2026-09-26T13:44:52+08:00,LING_RECURRENT_DENSE_L6_L7_V1,"Rotation checkpoint binary excluded by policy"
Third,/data/zypan/experiments/LING_RECURRENT_DENSE_L6_L7_V1/rotations/L4_final_rotation.pt,1185940,cc98f598a7b86ff3bf0569dd53cd64f2c5cfe1fd86cf9dc1c0809ac00a4ce0d9,NOT_RECORDED,LING_RECURRENT_DENSE_L6_L7_V1,"Old single-step rotation binary excluded by policy"
Third,/data/zypan/experiments/LING_RECURRENT_DENSE_L6_L7_V1/rotations/L5_final_rotation.pt,1185940,0410a13c6f93f689e59376313157da4c473a44722094e3d91773132456649e03,NOT_RECORDED,LING_RECURRENT_DENSE_L6_L7_V1,"Old single-step rotation binary excluded by policy"
Ling,/data01/user2/worktrees/ling-recurrent-dense-l6-l7-v1/experiments/LING_RECURRENT_DENSE_L6_L7_V1/rotations/H_final_rotation.pt,1185574,6500807d6a9ed45b48d54110917e68c206ee88e7263221e163f67ca5d9be8cbf,NOT_RECORDED,LING_RECURRENT_DENSE_L6_L7_V1,"Rotation checkpoint binary excluded by policy"
Third,/data/zypan/experiments/LING_RECURRENT_DENSE_L6_L7_V1/outputs/,10985016,LIVE_OUTPUT_NOT_HASHED,2026-09-26T14:05:59+08:00,LING_RECURRENT_DENSE_L6_L7_V1,"Growing L6 formal-evaluation output; no completion marker; excluded to avoid inconsistent snapshot"
Third,/data/zypan/worktrees/ling-256k-length-sensitivity-v1/artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/,NOT_COMPUTED_DIRECTORY,"NOT_COMPUTED_DIRECTORY; analysis_manifest_sha256=87037f6a263828a01240e85f9e9cdc31fd0372590c24c61f102d25e8380cf131",NOT_RECORDED,LING_256K_LONG_HORIZON_V1,"Full 256K responses; compact per-sample trajectory metadata archived"
Third,/data/zypan/worktrees/ling-256k-length-sensitivity-v1/artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/int8_r128/,NOT_COMPUTED_DIRECTORY,"NOT_COMPUTED_DIRECTORY; analysis_manifest_sha256=87037f6a263828a01240e85f9e9cdc31fd0372590c24c61f102d25e8380cf131",NOT_RECORDED,LING_256K_LONG_HORIZON_V1,"Full 256K responses; compact per-sample trajectory metadata archived"
Third,/data/zypan/worktrees/ling-256k-length-sensitivity-v1/artifacts/ling_256k_length_sensitivity_gpu4_helper_migrated_v1/migration_source/4090_completed_records/formal256k/int8_r128_value_h/,NOT_COMPUTED_DIRECTORY,"NOT_COMPUTED_DIRECTORY; analysis_manifest_sha256=87037f6a263828a01240e85f9e9cdc31fd0372590c24c61f102d25e8380cf131",NOT_RECORDED,LING_256K_LONG_HORIZON_V1,"Full 256K responses; source was migrated from earlier 4090 production"
Third,/data/zypan/worktrees/ling-256k-length-sensitivity-v1/artifacts/ling_256k_length_sensitivity_hadamard_coordinated_v1/records/formal256k/int8_r128_value_h/,NOT_COMPUTED_DIRECTORY,"NOT_COMPUTED_DIRECTORY; analysis_manifest_sha256=87037f6a263828a01240e85f9e9cdc31fd0372590c24c61f102d25e8380cf131",NOT_RECORDED,LING_256K_LONG_HORIZON_V1,"Full 256K responses; compact per-sample trajectory metadata archived"
